subject,trial,window,label,Fp1-Fp2,Fp1-F3,Fp1-F4,Fp1-C3,Fp1-C4,Fp1-O1,Fp1-O2,Fp2-F3,Fp2-F4,Fp2-C3,Fp2-C4,Fp2-O1,Fp2-O2,F3-F4,F3-C3,F3-C4,F3-O1,F3-O2,F4-C3,F4-C4,F4-O1,F4-O2,C3-C4,C3-O1,C3-O2,C4-O1,C4-O2,O1-O2
1,2,10,aktif,0.97658694,0.9024162,0.94224805,0.7266022,0.83907443,0.93936294,0.94182503,0.87802005,0.9617106,0.74472004,0.85315317,0.9552994,0.9534269,0.81990343,0.5703352,0.720381,0.842047,0.8307776,0.8230923,0.91452736,0.9682407,0.96258163,0.78580874,0.79842645,0.8071329,0.84958607,0.83810693,0.98759043
1,2,11,aktif,0.9881221,0.9554156,0.9821787,0.86490005,0.8364242,0.9717845,0.9752799,0.94803727,0.9908799,0.8866785,0.8567843,0.9721312,0.97882843,0.9276847,0.79473734,0.79435056,0.9331733,0.93491924,0.8937715,0.84966946,0.9811974,0.9863532,0.9252052,0.8595878,0.8702108,0.8184636,0.82413465,0.99080807
1,2,12,aktif,0.9388931,0.8530139,0.9665765,0.64653355,0.7501172,0.9321434,0.9454871,0.8641867,0.9481063,0.61636746,0.7075722,0.9276047,0.94361967,0.7974819,0.4791457,0.62213326,0.7685251,0.78792423,0.7036759,0.7831047,0.96742076,0.9782869,0.8648791,0.6746932,0.66766405,0.7293616,0.7261063,0.98571414
1,2,13,aktif,0.9546944,0.8555712,0.9275937,0.6949064,0.8573813,0.89598566,0.93347263,0.8429829,0.94704765,0.7240469,0.88012016,0.9109618,0.94302297,0.7691313,0.5431055,0.7104504,0.78651106,0.7966046,0.7923634,0.94232345,0.9548699,0.9675508,0.8571203,0.8183412,0.77951664,0.9017238,0.88913876,0.9717577
1,2,14,aktif,0.94103587,0.89559984,0.88638705,0.6081779,0.44421938,0.879143,0.89639264,0.85427517,0.9529079,0.671523,0.4244947,0.9206903,0.9420847,0.76780087,0.5513084,0.40931997,0.8037638,0.81308097,0.70442176,0.36343446,0.9388855,0.96441376,0.44534993,0.6580794,0.68316823,0.33148608,0.37626696,0.98338777
1,2,15,aktif,0.9374542,0.87309843,0.89833075,0.57540566,0.55276364,0.886825,0.9061833,0.84371,0.9349662,0.6268773,0.51416147,0.9015572,0.9267696,0.75223994,0.3989363,0.37674496,0.75333685,0.7815141,0.7467442,0.59196854,0.94959563,0.95900023,0.6395471,0.7196838,0.70593995,0.5966835,0.5904863,0.97602993
1,3,1,aktif,0.97195494,0.8651526,0.93228877,0.654846,0.5745374,0.9091902,0.9272008,0.8777358,0.9454014,0.67737633,0.5950107,0.92342556,0.9361322,0.8101668,0.53493124,0.5107267,0.80981296,0.8311669,0.7596162,0.6334629,0.9580158,0.9654078,0.7286041,0.71050906,0.7090713,0.5992399,0.593585,0.9860015
1,3,2,aktif,0.97571385,0.8981072,0.92401326,0.7062207,0.86227024,0.9180566,0.9301673,0.88918567,0.9482561,0.7329143,0.8772338,0.93339294,0.9477414,0.8094945,0.53995043,0.7209595,0.82610637,0.8205935,0.8110945,0.92039126,0.96502596,0.9743633,0.8947523,0.77021295,0.7952231,0.8771133,0.90443236,0.98879975
1,3,3,aktif,0.95782995,0.89334476,0.941435,0.8847643,0.9211444,0.94041777,0.95205677,0.90276045,0.9543841,0.8786498,0.91557217,0.9456315,0.95865357,0.85986,0.75405407,0.8392826,0.8744603,0.88115144,0.94889593,0.9646872,0.9778379,0.98420566,0.9521686,0.9243323,0.9230256,0.9582756,0.95319897,0.9869954
1,3,4,aktif,0.9609934,0.8333008,0.90966916,0.64871216,0.7514371,0.9495041,0.9394726,0.8470934,0.9585219,0.67657465,0.79259676,0.9708008,0.95783085,0.78589964,0.50834936,0.64964706,0.838755,0.82228273,0.7392248,0.85023344,0.96874076,0.9719392,0.9114566,0.6836158,0.7080002,0.80564874,0.8151198,0.9888206
1,3,5,aktif,0.95608103,0.8636449,0.9411188,0.8619291,0.90263283,0.9498255,0.94575965,0.8361831,0.98055923,0.8809029,0.94385433,0.9800843,0.97689116,0.81826156,0.7158623,0.76663125,0.82866424,0.85430473,0.9180522,0.97110766,0.9797625,0.969259,0.9693963,0.8961418,0.88953555,0.94774604,0.9394833,0.98266304
1,3,6,aktif,0.94846046,0.8153247,0.91759956,0.79447854,0.8786445,0.9202458,0.9295298,0.82023257,0.9563543,0.83843154,0.9255604,0.94965506,0.9590387,0.7305333,0.5939325,0.69643444,0.7524486,0.76279783,0.9196905,0.9760326,0.97298473,0.979391,0.9616075,0.87874496,0.8890497,0.9405408,0.95029765,0.9831866
1,3,7,aktif,0.9707004,0.82661414,0.95076877,0.75781465,0.8390161,0.9480976,0.9479099,0.80234593,0.97089875,0.7842093,0.8560836,0.9674345,0.9696014,0.7408628,0.50710166,0.62497604,0.7614098,0.7589928,0.85718185,0.90477914,0.979421,0.9863665,0.9507677,0.8073734,0.8140922,0.86930686,0.8697696,0.99208707
1,3,8,aktif,0.94109064,0.8173584,0.9180364,0.8523999,0.8996623,0.94961494,0.9325646,0.84245574,0.899601,0.8312235,0.8838672,0.9482474,0.9339076,0.709504,0.644501,0.6866707,0.7613702,0.7540871,0.951488,0.9795326,0.969606,0.9707423,0.9700801,0.9053424,0.9093685,0.9544574,0.95166403,0.9884844
