subject,trial,window,label,Fp1-Fp2,Fp1-F3,Fp1-F4,Fp1-C3,Fp1-C4,Fp1-O1,Fp1-O2,Fp2-F3,Fp2-F4,Fp2-C3,Fp2-C4,Fp2-O1,Fp2-O2,F3-F4,F3-C3,F3-C4,F3-O1,F3-O2,F4-C3,F4-C4,F4-O1,F4-O2,C3-C4,C3-O1,C3-O2,C4-O1,C4-O2,O1-O2
1,1,11,verbal,0.91005164,0.9757821,0.70783234,0.75829226,0.7121466,0.77063876,0.70583564,0.9396535,0.8459847,0.82165915,0.7784042,0.90835315,0.85858744,0.7326551,0.7413998,0.6881163,0.80617946,0.74837214,0.9083355,0.87991047,0.9660172,0.95478445,0.85533744,0.88902956,0.87103844,0.874947,0.80935293,0.94668114
1,1,12,verbal,0.8833094,0.9055637,0.7273367,0.66840583,0.71186006,0.73516643,0.6917627,0.911532,0.910694,0.8264973,0.87797767,0.925627,0.88841367,0.77759683,0.7034058,0.75199103,0.8027066,0.7572798,0.9340067,0.9473554,0.98565215,0.9838262,0.9062097,0.9113227,0.8957103,0.9427015,0.92921185,0.9768258
1,1,13,verbal,0.8408937,0.9513159,0.6539131,0.5906004,0.7175096,0.7015494,0.6345928,0.86139476,0.9006513,0.8081237,0.8825588,0.93222725,0.89095753,0.6798788,0.606256,0.75690466,0.7388407,0.67078435,0.934849,0.89474773,0.97964716,0.9933212,0.8537283,0.89772004,0.91744196,0.91629946,0.8922046,0.97762764
1,1,14,verbal,0.8941249,0.83374536,0.8365263,0.73863274,0.8506028,0.889682,0.8213041,0.782993,0.85393494,0.7116916,0.843378,0.8949587,0.8818589,0.7879057,0.7342486,0.79458326,0.81101596,0.7306697,0.9057587,0.9691182,0.98311126,0.96427083,0.8858406,0.87923574,0.8320244,0.96809363,0.93206376,0.95885223
1,1,15,verbal,0.9258429,0.92298007,0.8457261,0.77166474,0.8619093,0.8885853,0.8769545,0.8178423,0.9677509,0.88684046,0.958365,0.9864041,0.982875,0.7123941,0.6081495,0.7561153,0.777966,0.76226956,0.940515,0.95573884,0.9837307,0.98752826,0.877091,0.9013353,0.896268,0.9684887,0.95311254,0.99145263
1,2,1,verbal,0.90898824,0.9228033,0.7378264,0.7043177,0.7730214,0.78163594,0.7456257,0.8808716,0.883978,0.8202241,0.91065323,0.9233746,0.90076363,0.696356,0.6123904,0.77252966,0.7730952,0.73426276,0.87526524,0.931179,0.9721685,0.9816776,0.82700574,0.86306125,0.8367118,0.96659017,0.95347387,0.9814412
1,2,2,verbal,0.8883171,0.74863106,0.6682337,0.54070693,0.6298164,0.72606254,0.6753586,0.67308766,0.8265766,0.69391704,0.79238266,0.8718809,0.8406119,0.54626244,0.4230226,0.5432966,0.63479155,0.606134,0.8878875,0.94101983,0.948416,0.9354011,0.85822594,0.8233461,0.8179304,0.9592596,0.94343746,0.96330947
1,2,3,verbal,0.9763079,0.75776106,0.91625875,0.86379606,0.8757789,0.9380942,0.9272012,0.7770916,0.89483213,0.8492196,0.8588428,0.94811505,0.9386521,0.7852078,0.7057707,0.6883632,0.85668,0.7982488,0.9239359,0.8359177,0.95204765,0.8919598,0.78054094,0.9039288,0.8437077,0.8527814,0.8082756,0.9518062
1,2,4,verbal,0.9908398,0.8528888,0.94216305,0.6654654,0.73513484,0.97986865,0.9684571,0.81794655,0.9663348,0.6989652,0.75284326,0.9896284,0.9838607,0.7470708,0.41519296,0.5698921,0.7991127,0.79805994,0.78116,0.76493263,0.97036165,0.98463887,0.5331159,0.7284796,0.71794444,0.76492053,0.7635981,0.98444015
1,2,5,verbal,0.9804977,0.7951699,0.90706265,0.6227577,0.72337806,0.9478961,0.95165664,0.7647057,0.95046127,0.69601405,0.7617991,0.97490996,0.9744889,0.67769283,0.41082123,0.5327369,0.73889965,0.7501598,0.81457376,0.7357308,0.9581582,0.9774714,0.532688,0.7453955,0.7216942,0.78322476,0.72982925,0.95857424
1,2,6,verbal,0.8658895,0.93998736,0.6894828,0.73343575,0.63639826,0.7238013,0.62345916,0.8467575,0.85972273,0.7895145,0.8023556,0.89684916,0.8000631,0.7019788,0.6915254,0.6710512,0.74803454,0.65773636,0.89579463,0.8639503,0.95900345,0.9618776,0.75629896,0.8408931,0.82786566,0.9111578,0.87393856,0.9386505
1,2,7,verbal,0.9919774,0.99808484,0.93681616,0.93284035,0.92877483,0.9487717,0.90751624,0.9902977,0.95022804,0.9345896,0.9501027,0.96853775,0.92206365,0.93579984,0.9335289,0.9297974,0.9455796,0.9070715,0.9776073,0.99031496,0.9819423,0.9838818,0.964834,0.9602038,0.95894414,0.9841266,0.97232276,0.9721058
1,2,8,verbal,0.9871295,0.9451666,0.7296969,0.55577403,0.73829836,0.82497203,0.7468867,0.91297376,0.7775792,0.6010853,0.7853801,0.8735271,0.79479545,0.6388191,0.4822254,0.63694364,0.72252035,0.6634786,0.909013,0.942649,0.9231072,0.9670159,0.83651286,0.7859182,0.849091,0.9452947,0.95183575,0.9472695
1,2,9,verbal,0.83222073,0.8045887,0.78267044,0.6023846,0.82530046,0.83089983,0.82060516,0.8756616,0.93818164,0.79953855,0.9095775,0.969711,0.9612553,0.8060168,0.6328883,0.8243896,0.86103594,0.8430299,0.9057568,0.9081564,0.9745018,0.9825949,0.7889916,0.85468835,0.8538972,0.9307697,0.9013133,0.9804608
1,2,10,verbal,0.91345847,0.8357551,0.88452256,0.76268727,0.8406255,0.919102,0.9127591,0.8064227,0.9623074,0.8766055,0.89303744,0.9811398,0.96695465,0.77047926,0.595547,0.72860956,0.8313513,0.85269004,0.9243089,0.8652391,0.9688689,0.97748345,0.8292951,0.8848757,0.855096,0.9102457,0.8569511,0.9775514
1,2,11,verbal,0.95691365,0.8708073,0.90919226,0.7972826,0.8916313,0.9426187,0.94077027,0.8586672,0.96514297,0.87411106,0.939183,0.98402715,0.98079747,0.78023624,0.63605124,0.8277846,0.8570501,0.8443334,0.9481468,0.9292111,0.97119445,0.98669124,0.85123163,0.8885586,0.90117687,0.95720243,0.94416374,0.98922724
1,2,12,verbal,0.8518882,0.92964786,0.61391646,0.5154462,0.67765564,0.69584763,0.6393193,0.85533243,0.81049544,0.6972783,0.8338838,0.87551683,0.8015472,0.61319965,0.47962585,0.66921127,0.69204336,0.6434359,0.91165894,0.8468703,0.93753874,0.96244544,0.7292847,0.8312789,0.8578708,0.94292265,0.8840614,0.9561473
1,2,13,verbal,0.89910525,0.954133,0.67746997,0.5857208,0.6783472,0.7232068,0.65182775,0.85521704,0.8229941,0.7107176,0.8198955,0.87091506,0.79945105,0.60111845,0.48823902,0.62344646,0.6629163,0.5945757,0.94159263,0.95199907,0.9703779,0.9767402,0.8673946,0.8867363,0.9119215,0.9610825,0.96121943,0.9737512
1,2,14,verbal,0.93697333,0.98531526,0.7188026,0.67154485,0.71710885,0.7735997,0.679564,0.9442912,0.84421134,0.78431195,0.85116047,0.8992014,0.81739706,0.73084104,0.6768161,0.73281515,0.79064304,0.69993865,0.9297865,0.9619387,0.9564813,0.9618324,0.8889613,0.8740798,0.88464165,0.9563702,0.9615147,0.95378786
1,2,15,verbal,0.9876127,0.99882984,0.790118,0.6908327,0.81425226,0.9070337,0.90954876,0.98745656,0.82959133,0.7241862,0.8569364,0.94240713,0.94534457,0.7923109,0.69083476,0.81475246,0.90686506,0.90824693,0.9283147,0.95889646,0.9186152,0.9124304,0.86637366,0.80640554,0.8061031,0.94426626,0.93854344,0.99588215
