subject,trial,window,label,Fp1-Fp2,Fp1-F3,Fp1-F4,Fp1-C3,Fp1-C4,Fp1-O1,Fp1-O2,Fp2-F3,Fp2-F4,Fp2-C3,Fp2-C4,Fp2-O1,Fp2-O2,F3-F4,F3-C3,F3-C4,F3-O1,F3-O2,F4-C3,F4-C4,F4-O1,F4-O2,C3-C4,C3-O1,C3-O2,C4-O1,C4-O2,O1-O2
1,2,10,verbal,0.22738451,0.2577804,0.7514733,0.50945914,0.35037905,0.66924864,0.768325,0.37451345,0.84834427,0.580432,0.38832515,0.76265335,0.72689444,0.74474525,0.32766375,0.20929648,0.6931116,0.85976285,0.29084754,0.187649,0.43476188,0.36484724,0.0061420803,0.14382528,0.21825477,0.1717751,0.26174718,0.36071828
1,2,11,verbal,0.31269002,0.5268694,0.8072337,0.54144144,0.3632684,0.6811491,0.8158018,0.6093953,0.8882822,0.5602756,0.27516368,0.69954425,0.8463528,0.78691083,0.4376936,0.62923265,0.7959129,0.85556006,0.17495519,0.49541432,0.5155681,0.4765111,0.22772217,0.12653282,0.1685705,0.22231105,0.45629928,0.5042809
1,2,12,verbal,0.64162403,0.8934836,0.90137875,0.90588766,0.81429434,0.8690914,0.90085804,0.92134583,0.952562,0.9523627,0.8583065,0.9393472,0.94693476,0.9395592,0.93437153,0.8873416,0.92853034,0.93727344,0.74523914,0.7865639,0.8941484,0.10741481,0.8092333,0.87381184,0.61577773,0.21234941,0.84684324,0.9311367
1,2,13,verbal,0.83636785,0.7228577,0.92654926,0.92661375,0.89852124,0.92006713,0.9238028,0.8864662,0.9450811,0.9340709,0.89958644,0.94843054,0.93990856,0.92648435,0.91820097,0.9033083,0.9246928,0.92331177,0.88924545,0.92694336,0.89701056,0.8045836,0.9264874,0.90848666,0.66595364,0.3315292,0.93700755,0.9284339
1,2,14,verbal,0.99730206,0.26475546,0.9971189,0.99729073,0.99385875,0.9967268,0.9956648,0.99746543,0.9974488,0.99719703,0.98819447,0.9958583,0.9947986,0.99691385,0.99687964,0.99364626,0.99696165,0.99570906,0.98307693,0.9749228,0.9938465,0.62501526,0.99419004,0.99317604,0.97145647,0.57215965,0.97214377,0.9810669
1,2,15,verbal,0.95256346,0.9942741,0.98174804,0.9718923,0.73627985,0.9323354,0.90380514,0.98607385,0.98287034,0.972688,0.59119,0.8942735,0.8390339,0.9842796,0.97408414,0.79979193,0.95900327,0.9388428,0.9016952,0.99817026,0.9893585,0.9914088,0.98741287,0.9736064,0.97770876,0.030485384,0.2275815,0.68669575
1,3,1,verbal,0.97925806,0.9627141,0.95924634,0.97176045,0.27338687,0.6949475,0.8696338,0.9902908,0.954042,0.96476144,0.5317339,0.2788618,0.6727653,0.9653366,0.9684479,0.008624076,0.87411636,0.9501065,0.8046709,0.94039005,0.9640588,0.95460683,0.9321456,0.9375749,0.9309773,0.76768756,0.7680694,0.6502927
1,3,2,verbal,0.2782125,0.5554813,0.51295567,0.52274483,0.2691159,0.3068725,0.4344785,0.615286,0.64206,0.63334197,0.23071977,0.341187,0.52018976,0.68176377,0.6579037,0.52690613,0.5742157,0.62848514,0.32491773,0.48087546,0.81942165,0.6969119,0.600868,0.67463,0.6425799,0.04919794,0.19256881,0.49814638
1,3,3,verbal,0.75329703,0.5079545,0.8484757,0.85305446,0.6115596,0.8106837,0.81215304,0.7832844,0.80279297,0.79044145,0.15413202,0.50616634,0.6525644,0.8795078,0.89246774,0.7525712,0.8625449,0.8572028,0.38490766,0.56841075,0.76537764,0.63134843,0.6284295,0.710659,0.586626,0.2088067,0.36414418,0.37581313
1,3,4,verbal,0.087032124,0.6390847,0.8105617,0.6988465,0.24894093,0.62328345,0.7311726,0.5160079,0.7349472,0.7136617,0.3928626,0.3542112,0.40900412,0.7992149,0.6684063,0.13231254,0.7372164,0.798386,0.41233504,0.7685712,0.7292377,0.32299554,0.78951746,0.62478185,0.34661624,0.6097576,0.64565885,0.5008369
1,3,5,verbal,0.51987624,0.593446,0.33135077,0.09912827,0.7452542,0.0060438244,0.39068514,0.38236943,0.03930572,0.18244089,0.90102696,0.67079127,0.027956503,0.33832613,0.56360185,0.85883087,0.58350784,0.23823705,0.10143838,0.8912719,0.5201423,0.11022701,0.81029177,0.20326495,0.03981296,0.90316933,0.87929696,0.5131007
1,3,6,verbal,0.44029427,0.52685845,0.7754996,0.5653525,0.43226382,0.5941863,0.83009547,0.67424905,0.87954456,0.5101742,0.16032565,0.5897398,0.88484883,0.79072267,0.42253152,0.49307927,0.6586788,0.8257359,0.28009406,0.7808806,0.82545704,0.5773173,0.35211405,0.27737832,0.15657635,0.35835198,0.68332016,0.75053376
1,3,7,verbal,0.27172205,0.5036663,0.78487855,0.451817,0.10051552,0.5722241,0.83990777,0.69396305,0.8584626,0.35492542,0.11949691,0.4391505,0.8033529,0.8508783,0.36199096,0.74406564,0.8112531,0.8722102,0.041470192,0.50962174,0.7124127,0.34070247,0.15219466,0.036949676,0.09448861,0.037853487,0.2465556,0.44131753
1,3,8,verbal,0.40983325,0.2948814,0.9248722,0.5986464,0.6304865,0.7474988,0.89046776,0.65168345,0.981975,0.39993563,0.5464883,0.82506037,0.9617426,0.84901524,0.31514397,0.8055601,0.78975123,0.9068751,0.22266817,0.7308237,0.7903048,0.46711966,0.12352655,0.049803514,0.08303826,0.12525235,0.5692461,0.7244197
1,3,9,verbal,0.6049293,0.5814754,0.963357,0.7576575,0.5000363,0.8092062,0.92406034,0.8700215,0.9869353,0.6221709,0.24810936,0.721206,0.95623636,0.9588531,0.7216731,0.73477286,0.96051425,0.97587585,0.15337205,0.5187968,0.7969076,0.6082827,0.23680772,0.16952379,0.017709196,0.02147271,0.38553366,0.7581455
1,3,10,verbal,0.24367939,0.64745146,0.83865744,0.57526165,0.49309638,0.5795066,0.8110085,0.8786114,0.9601983,0.632599,0.5655703,0.7370211,0.9569506,0.9552397,0.74611515,0.92793256,0.9162548,0.96338135,0.21129903,0.82867545,0.83187103,0.68712044,0.3443959,0.16917762,0.054515094,0.070320725,0.70993274,0.7817248
1,3,11,verbal,0.65442985,0.03394938,0.80998594,0.79643476,0.52273124,0.7251442,0.7452483,0.57929194,0.8646733,0.7829801,0.50704414,0.7658399,0.79277104,0.8736871,0.7532989,0.67345715,0.8020045,0.84520286,0.069946535,0.76661754,0.82396704,0.55723363,0.40402305,0.36341077,0.10421212,0.21144947,0.679818,0.78052926
1,3,12,verbal,0.9280703,0.3577399,0.93853104,0.938551,0.8024329,0.9150584,0.90743935,0.8312409,0.952421,0.94219625,0.7392163,0.9151313,0.9079529,0.9287898,0.93117636,0.78427446,0.90156275,0.9080716,0.7490946,0.9321802,0.9426795,0.8560532,0.91404414,0.90744233,0.76408947,0.12921676,0.67636776,0.833508
1,3,13,verbal,0.8441516,0.7220246,0.9363885,0.95288616,0.80314946,0.9301613,0.902956,0.7144719,0.9425906,0.9393479,0.6780765,0.93614966,0.9027869,0.9389401,0.9374516,0.7719329,0.93591034,0.9339964,0.5894175,0.8314191,0.8177604,0.05091474,0.82297915,0.7246593,0.23152837,0.34095317,0.73305887,0.8310429
1,3,14,verbal,0.86622226,0.28429848,0.9091029,0.9104043,0.7959196,0.88815725,0.861833,0.7686553,0.94757515,0.9174568,0.76597965,0.8952446,0.8689186,0.9138557,0.8994734,0.8147298,0.9038291,0.91080815,0.115679115,0.42464152,0.7906606,0.29823956,0.1732976,0.5102151,0.07354436,0.14757754,0.43922526,0.74638224
1,3,15,verbal,0.24218033,0.6049918,0.8026797,0.21327466,0.12735622,0.59815276,0.85175043,0.65529954,0.95158696,0.37231472,4.943034e-05,0.7256114,0.909259,0.92910916,0.32725337,0.58061546,0.8865765,0.954077,0.17946902,0.6543189,0.8002873,0.3481701,0.24243863,0.14160666,0.11735486,0.31409085,0.5751668,0.64359844
1,4,1,verbal,0.34367648,0.5264324,0.8753205,0.49351564,0.46691078,0.68790174,0.90438336,0.634677,0.9570636,0.28670228,0.2000094,0.80101913,0.9461529,0.9175414,0.32701895,0.6228483,0.8742372,0.9783711,0.16201292,0.5749416,0.7052246,0.31169015,0.1694742,0.11273013,0.19504656,0.07930303,0.46263945,0.72372556
1,4,2,verbal,0.25263277,0.58356464,0.6922285,0.06915582,0.3151176,0.45170245,0.797367,0.64988625,0.6646167,0.03360238,0.0797752,0.3547993,0.7327558,0.7529616,0.005500754,0.44767132,0.70854175,0.882354,0.019820405,0.6734892,0.47148085,0.2472584,0.30440518,0.23484458,0.124141,0.39742196,0.64206964,0.6187731
