subject,trial,window,label,Fp1-Fp2,Fp1-F3,Fp1-F4,Fp1-C3,Fp1-C4,Fp1-O1,Fp1-O2,Fp2-F3,Fp2-F4,Fp2-C3,Fp2-C4,Fp2-O1,Fp2-O2,F3-F4,F3-C3,F3-C4,F3-O1,F3-O2,F4-C3,F4-C4,F4-O1,F4-O2,C3-C4,C3-O1,C3-O2,C4-O1,C4-O2,O1-O2
1,2,6,aktif,0.34565294,0.50069636,0.7151077,0.31358358,0.31655258,0.50913787,0.06419471,0.35000566,0.9636788,0.55845517,0.74040264,0.7928343,0.39960766,0.6713966,0.23720433,0.47084978,0.5255303,0.22936521,0.043402437,0.4964733,0.4427302,0.87697107,0.33555374,0.14079158,0.08150815,0.17170984,0.2667927,0.8685573
1,2,7,aktif,0.30364442,0.7342195,0.81085,0.6488361,0.6284209,0.41761118,0.05670445,0.6333125,0.8692973,0.69919604,0.7419582,0.5553227,0.30626315,0.8561249,0.64479685,0.7974813,0.7295615,0.61040795,0.5639391,0.0418376,0.5199211,0.89391136,0.67263204,0.48225543,0.6081202,0.21798609,0.602472,0.6427052
1,2,8,aktif,0.4619486,0.6969926,0.6371187,0.03310672,0.0569703,0.3256832,0.11235844,0.5448017,0.9518234,0.09223913,0.10061686,0.7625656,0.48310292,0.75737643,0.09085723,0.21684553,0.6347773,0.5188516,0.09890412,0.0019834633,0.5644091,0.8587937,0.90517956,0.020498322,0.01020983,0.040486224,0.026003145,0.6449685
1,2,9,aktif,0.48973548,0.7454556,0.82053083,0.06489061,0.34511003,0.0902446,0.19489361,0.72397935,0.9337803,0.09479237,0.4800018,0.122956686,0.1197093,0.8507775,0.16028248,0.6095275,0.40595174,0.48341826,0.094262116,0.116731495,0.73822254,0.85239196,0.34651515,0.2242794,0.09343582,0.1767707,0.25687417,0.26475978
1,2,10,aktif,0.52401173,0.8308969,0.73784655,0.37866798,0.5542397,0.30319238,0.09445347,0.71192855,0.9329472,0.4936062,0.69104534,0.72114813,0.3725457,0.87719375,0.55841964,0.7791014,0.80759287,0.66844785,0.21923852,0.23517828,0.65331376,0.79171073,0.41875172,0.18282259,0.29346216,0.3688425,0.48640946,0.5858175
1,2,11,aktif,0.25464398,0.9068147,0.9324662,0.548972,0.21578553,0.74991477,0.4438739,0.8695718,0.9822805,0.58231366,0.22412157,0.83112705,0.63000417,0.9468731,0.5606234,0.31257597,0.93899965,0.9172583,0.3511366,0.12393147,0.43019703,0.74583596,0.81319207,0.34695047,0.4143445,0.055261064,0.10981364,0.61016893
1,2,12,aktif,0.6192448,0.6621484,0.8404249,0.45102903,0.53813255,0.23930347,0.08331385,0.27961433,0.92457753,0.38249564,0.50648546,0.6949162,0.58871686,0.76528656,0.5684511,0.6794454,0.5728455,0.4976747,0.2327117,0.18018171,0.58602905,0.80745196,0.8536029,0.17176557,0.26928622,0.2493351,0.39664292,0.53508544
1,2,13,aktif,0.36514375,0.7251199,0.7255475,0.4356699,0.39370462,0.5683481,0.31202954,0.6129593,0.92712367,0.60548306,0.6093089,0.8248838,0.7044416,0.79154503,0.5927586,0.62715816,0.7727905,0.6715224,0.31945074,0.28317493,0.12959035,0.735119,0.6637068,0.41323042,0.43383598,0.18011379,0.12020485,0.6648736
1,2,14,aktif,0.5867843,0.75492156,0.5387647,0.61196035,0.35559642,0.307973,0.06568126,0.45868433,0.88239354,0.73901904,0.3385035,0.68768907,0.5550572,0.71034807,0.7661411,0.43840706,0.70193887,0.6346901,0.5334574,0.20933028,0.15570717,0.55946213,0.8374858,0.46252537,0.58476144,0.3039688,0.32864726,0.66278845
1,2,15,aktif,0.6733875,0.6097905,0.47913402,0.17101137,0.6317071,0.2632021,0.41927195,0.3060899,0.8646398,0.02875414,0.48697394,0.35952404,0.27744067,0.6453484,0.106876746,0.48791075,0.20596662,0.19697005,0.28946608,0.64062667,0.6552521,0.79415613,0.4008431,0.37122533,0.28902006,0.65694356,0.60235435,0.28155106
1,3,1,aktif,0.51184815,0.823519,0.68245435,0.30976093,0.29001185,0.06617615,0.2984582,0.77632594,0.86696416,0.41177613,0.41650075,0.4129467,0.08754973,0.83842534,0.4841863,0.615656,0.6633722,0.574341,0.10816482,0.04672749,0.6939888,0.88764524,0.5052194,0.11215899,0.22064719,0.18628632,0.26884633,0.60357696
1,3,2,aktif,0.40383977,0.8381748,0.65816075,0.085161194,0.275267,0.025132898,0.30344883,0.77357364,0.8642767,0.24554108,0.46545923,0.28920567,0.0267813,0.83935094,0.24281412,0.61920124,0.59279954,0.44939756,0.04115868,0.32046857,0.660006,0.9267614,0.21653387,0.11815801,0.06817068,0.05796557,0.37971953,0.738952
1,3,3,aktif,0.2996008,0.8922929,0.843873,0.84048665,0.70805395,0.668561,0.41599768,0.894251,0.8948094,0.85999,0.73577285,0.7625173,0.6442415,0.9519395,0.90308666,0.92706406,0.9385375,0.91144997,0.65816,0.16315888,0.60447997,0.86763847,0.7639621,0.71756274,0.7983104,0.300147,0.5036546,0.5780834
1,3,4,aktif,0.20813872,0.34885237,0.7064166,0.2523091,0.24486263,0.705843,0.26147202,0.38256907,0.8731193,0.37015074,0.37978917,0.89842767,0.41138273,0.73133165,0.21126987,0.3016716,0.71908057,0.46857637,0.17115374,0.026747879,0.3662916,0.8256388,0.6921108,0.11821618,0.17974529,0.040387146,0.17074932,0.84146374
1,3,5,aktif,0.22834897,0.742439,0.79392093,0.78953606,0.53445375,0.68369025,0.5064771,0.6010368,0.97599554,0.8471906,0.77196425,0.9141743,0.77202517,0.8964051,0.8529657,0.79121584,0.8622201,0.85434014,0.5513336,0.14459032,0.46564642,0.6763472,0.87518334,0.56746125,0.64641815,0.056379505,0.26251802,0.44577175
1,3,6,aktif,0.10381469,0.7357587,0.79623735,0.71092933,0.59722406,0.58869666,0.49136454,0.70483834,0.9398904,0.8031678,0.767008,0.7693587,0.6650411,0.81567293,0.7733209,0.7798151,0.7588157,0.7433168,0.5667048,0.09373071,0.5011582,0.8480684,0.8118941,0.5903722,0.6836204,0.21689583,0.47665733,0.59694827
1,3,7,aktif,0.6137631,0.7315138,0.71328056,0.5613314,0.4656161,0.38336053,0.048035603,0.5310233,0.96840656,0.6724881,0.5943365,0.84999686,0.67365456,0.77759,0.575017,0.65361655,0.66324484,0.58281463,0.39033642,0.0123719,0.48865813,0.8344242,0.8531765,0.3087928,0.46230173,0.07187828,0.272853,0.6979021
1,3,8,aktif,0.9779251,0.99377656,0.9969792,0.996489,0.9925791,0.99541664,0.9888658,0.995353,0.99678653,0.9965603,0.99403965,0.9967486,0.9949079,0.99587125,0.9959553,0.9942517,0.995684,0.9955129,0.9856739,0.8049112,0.99076784,0.99375343,0.99576944,0.992016,0.9938609,0.97559947,0.9793246,0.55069196
1,3,9,aktif,0.62820107,0.951636,0.88439584,0.73253953,0.6737229,0.6445346,0.45347175,0.9507006,0.9399989,0.8434191,0.8397298,0.7561481,0.691615,0.9420085,0.9025273,0.9292354,0.8766875,0.8780797,0.51991034,0.32314762,0.55425966,0.808415,0.769793,0.49053884,0.6381573,0.12329461,0.34025472,0.522538
1,3,10,aktif,0.49946693,0.8521398,0.90530163,0.8676115,0.65247166,0.73156637,0.45060205,0.7218902,0.9670392,0.9429995,0.87376016,0.87643105,0.71238637,0.893584,0.8961994,0.90458465,0.82769704,0.7549081,0.68591285,0.026026681,0.5453501,0.8441872,0.7762059,0.69234264,0.78456753,0.3451211,0.5394481,0.6273282
